Time from,Time to,Cases All, toDo, toDo COM, toDo CPS, toDo LPS, toDo AIO, Picked, Picked COM, Picked CPS, Picked LPS, Picked AIO, Missed,Cases done,Cases Loaded Planed (Cases all) *,Cases Reached Buffer *,Cases Reached Buffer (% / OK) *,Cases Loaded Actual *,Cases Loaded Done (% / OK) *,COM cases sum,COM picks sum,COM cases avg,COM picks avg,Full pallet cases vendor return,Full pallet cases pick,TMS cases pick,LPS cases,LPS layer,LPS tu,LPS pal,AIO cases sum,AIO picks sum,AIO picks DPS,AIO picks OPS,AIO cases avg,AIO picks avg,AIO cases per pick,AIO totes stack *,AIO totes pre stack *,AIO totes pre pick *,AIO pal stack *,AIO pal pre stack *,Depal. cases,  DEP002,  DEP003,  DEP004,  DEP005,  DEP006,  DEP007,  DEP008,  DEP009,  DEP011,  DEP012,  DEP013,  DEP014,  DEP015,  DEP016,  DEP017,  DEP018,  DEP002 TRS,  DEP002 TRL,  DEP003 TRS,  DEP003 TRL,  DEP004 TRS,  DEP005 TRS,  DEP005 TRL,  DEP006 TRS,  DEP006 TRL,  DEP007 TRS,  DEP007 TRL,  DEP008 TRS,  DEP009 TRS,  DEP009 TRL,  DEP011 TRS,  DEP011 TRL,  DEP012 TRS,  DEP013 TRS,  DEP013 TRL,  DEP014 TRS,  DEP014 TRL,  DEP015 TRS,  DEP015 TRL,  DEP016 TRS,  DEP017 TRS,  DEP017 TRL,  DEP018 TRS,  DEP018 TRL,RPK cases,  RPK001L,  RPK001R,  RPK002L,  RPK002R,  RPK003L,  RPK003R,  RPK004L,  RPK004R,  RPK005L,  RPK005R,  RPK006L,  RPK006R,  RPK007L,  RPK007R,"Repl. open cases prio 4,5,6","Repl. open cases prio 1,2,3",Inb. cases,Inb. pallets,Inb. pallets transport,Locations occupied tray (%),Channels occupied tray (%),Locations occupied HBW  (%) Storage only,Channels occupied HBW (%) Storage only,Phase
31/07/2024 05:00,31/07/2024 06:00,22613,,,,,,22579,,,,,34,OK,,,-,,-,14275,14275,376,376,,,,,,,,7669,6381,5807,574,226,188,1.2,163,43,2,7,2,10033,679,36,733,274,544,343,803,677,787,1010,905,761,781,706,334,660,679,,36,,733,274,,499,45,303,40,803,605,72,707,80,1010,848,57,677,84,700,81,706,280,54,620,40,4800,502,236,397,399,397,,1016,,78,50,123,312,,1290,12053,78568,27222,289,289, , , , , 
31/07/2024 06:00,31/07/2024 07:00,22455,,,,,,22417,,,,,38,OK,,,-,,-,18452,18452,486,486,,,,,,,,6924,6624,5929,695,204,195,1.05,310,95,9,11,8,12131,914,593,919,815,916,1022,903,1105,755,695,499,517,845,876,,757,906,8,513,80,919,807,8,876,40,949,73,903,1065,40,679,76,695,442,57,505,12,748,97,876,,,627,130,8679,785,358,468,432,755,96,1227,910,1497,,1088,,137,926,25113,108603,33077,395,384, , , , , 
31/07/2024 07:00,31/07/2024 08:00,24277,,,,,,24206,,,,,71,OK,,,-,,-,15488,15488,408,408,,,,,,,,4034,3871,3390,481,119,114,1.04,373,7,3,11,,6954,511,218,685,426,454,490,508,769,271,491,258,309,390,589,334,251,409,102,170,48,685,343,83,280,174,490,,508,721,48,215,56,491,196,62,309,,367,23,589,316,18,219,32,3956,314,,252,303,277,270,928,530,174,277,296,,,335,41062,141675,25430,422,400, , , , , 
31/07/2024 08:00,31/07/2024 09:00,22733,,,,,,22690,,,,,43,OK,,,-,,-,6574,6574,173,173,,,,,,,,7395,7139,6600,539,218,210,1.04,523,11,35,21,1,7869,517,625,538,449,634,66,649,725,543,465,447,347,507,644,289,424,332,185,593,32,538,254,195,568,66,66,,649,650,75,383,160,465,439,8,299,48,291,216,644,210,79,368,56,4345,540,,348,342,314,259,517,463,16,312,592,,123,519,35685,142342,30186,325,325, , , , , 
31/07/2024 09:00,31/07/2024 10:00,23174,,,,,,23117,,,,,57,OK,,,-,,-,18073,18073,476,476,,,,,,,,6569,6193,5538,655,193,182,1.06,747,18,64,26,2,10619,648,554,518,756,476,810,937,779,548,340,656,1154,691,511,448,793,544,104,418,136,518,615,141,385,91,719,91,937,645,134,347,201,340,643,13,1033,121,653,38,511,412,36,679,114,5808,683,,620,608,389,330,761,502,52,469,378,245,76,695,73157,118248,33130,477,428, , , , , 
31/07/2024 10:00,31/07/2024 11:00,25526,,,,,,25432,,,,,94,OK,,,-,,-,16363,16363,420,420,,,,,,,,7576,7225,6593,632,223,213,1.05,202,30,154,10,3,14687,1217,719,1110,731,924,980,738,970,962,1134,910,864,725,567,1032,1104,1063,154,631,88,1110,474,257,758,166,910,70,738,872,98,737,225,1134,835,75,674,190,673,52,567,854,178,986,118,5948,309,,645,661,463,424,892,733,,625,40,668,,488,80357,129096,25871,297,283, , , , , 
31/07/2024 11:14,31/07/2024 12:00,22268,,,,,,22053,,,,,215,OK,,,-,,-,4445,4445,117,117,,,,,,,,416,404,394,10,24,24,1.03,113,12,10,3,1,3090,98,130,117,139,201,285,329,286,73,56,245,366,332,225,40,168,98,,130,,117,133,6,121,80,259,26,329,238,48,73,,56,205,40,366,,277,55,225,40,,118,50,660,,,135,105,,,,,,,,,96,324,,,1821,29,29,current time, , , , 
31/07/2024 12:00,31/07/2024 13:00,25566,78,,,,,25325,,,,,163,99%,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , 
31/07/2024 13:00,31/07/2024 14:00,20954,382,,,,,20327,,,,,245,98%,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , 
31/07/2024 14:00,31/07/2024 15:00,23124,8977,,,,,14103,,,,,44,61%,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , 
